Make,Model,'Vehicle Class','Engine Size(L)',Cylinders,Transmission,'Fuel Type','Fuel Consumption City (L/100 km)','Fuel Consumption Hwy (L/100 km)','Fuel Consumption Comb (L/100 km)','Fuel Consumption Comb (mpg)','CO2 Emissions(g/km)'
VOLVO,'V60 T5 AWD','STATION WAGON - SMALL',2,4,AS8,X,11,8.1,9.7,29,226
JAGUAR,'XJ AWD',FULL-SIZE,3,6,AS8,Z,14.6,9.6,12.4,23,285
LINCOLN,'MKZ AWD',MID-SIZE,3,6,AS6,X,14,9.2,11.8,24,278
KIA,'Telluride AWD','SUV - SMALL',3.8,6,AS8,X,12.5,9.6,11.2,25,264
KIA,'Sportage AWD','SUV - SMALL',2.4,4,AS6,X,10.8,9.1,10,28,239
AUDI,'TT Roadster quattro',TWO-SEATER,2,4,AM7,X,10.3,7.7,9.2,31,213
JEEP,'CHEROKEE 4X4 ACTIVE DRIVE I','SUV - SMALL',3.2,6,A9,X,11.6,8.6,10.3,27,241
BENTLEY,'CONTINENTAL GT',COMPACT,6,12,AS8,Z,18.9,11.2,15.4,18,360
CHEVROLET,'SONIC 5','STATION WAGON - SMALL',1.4,4,AS6,X,9,6.8,8,35,188
MERCEDES-BENZ,'E 400 CABRIOLET',SUBCOMPACT,3,6,AS7,Z,11.5,8.1,10,28,233
PORSCHE,'911 CARRERA 4S CABRIOLET',MINICOMPACT,3,6,M7,Z,12.2,8.5,10.5,27,246
JEEP,COMPASS,'SUV - SMALL',2,4,A6,X,11.1,8.3,9.8,29,225
GMC,'SIERRA 4WD','PICKUP TRUCK - STANDARD',5.3,8,A6,X,15,10.7,13.1,22,307
MINI,'COOPER S CLUBMAN',MID-SIZE,2,4,M6,Z,10.8,7.7,9.4,30,220
BMW,'430i xDRIVE CABRIOLET',SUBCOMPACT,2,4,AS8,Z,10.7,7.3,9.1,31,214
CHEVROLET,'EXPRESS 1500 CARGO CONV AWD','VAN - CARGO',5.3,8,A4,X,18.3,14.2,16.5,17,380
INFINITI,'QX60 HYBRID AWD','SUV - STANDARD',2.5,4,AV7,X,8.9,8.4,8.7,32,200
JEEP,CHEROKEE,'SUV - SMALL',2.4,4,A9,X,10.9,7.7,9.5,30,223
TOYOTA,TUNDRA,'PICKUP TRUCK - STANDARD',4.6,8,AS6,X,15.8,12.3,14.2,20,334
PORSCHE,'911 TARGA 4',MINICOMPACT,3,6,AM7,Z,10.9,8.4,9.8,29,228
AUDI,'A5 CABRIOLET QUATTRO',SUBCOMPACT,2,4,AS8,Z,11.3,8,9.8,29,230
JEEP,'GRAND CHEROKEE 4X4','SUV - STANDARD',5.7,8,A8,X,16.6,10.7,14,20,328
MITSUBISHI,RVR,'SUV - SMALL',2,4,M5,X,10.3,8.2,9.3,30,216
JEEP,'GRAND CHEROKEE 4X4 SRT','SUV - STANDARD',6.4,8,A8,Z,18.3,12.6,15.7,18,368
FORD,'E150 VAN FFV','VAN - CARGO',4.6,8,A4,E,24.1,19.2,21.9,13,350
DODGE,'CHALLENGER GT AWD FFV',MID-SIZE,3.6,6,A8,X,12.8,8.7,11,26,258
BMW,'430i xDRIVE CABRIOLET',SUBCOMPACT,2,4,AS8,Z,10.7,7.3,9.1,31,214
PORSCHE,'911 CARRERA 4S',MINICOMPACT,3,6,M7,Z,12.1,8.4,10.4,27,243
FORD,F-150,'PICKUP TRUCK - STANDARD',3,6,AS10,D,10.8,8,9.5,30,256
PORSCHE,'911 CARRERA S',MINICOMPACT,3.8,6,AM7,Z,11.9,8.7,10.5,27,245
SCION,FR-S,MINICOMPACT,2,4,M6,Z,10.9,7.9,9.6,29,224
FORD,'F-150 (Payload Pkg)','PICKUP TRUCK - STANDARD',2.7,6,AS10,X,12.4,9.4,11.1,25,260
AUDI,A8L,FULL-SIZE,3,6,AS8,Z,12.6,8,10.5,27,242
PORSCHE,'911 Carrera 4 GTS',MINICOMPACT,3,6,M7,Z,12.8,8.9,11,26,257
VOLKSWAGEN,CC,COMPACT,2,4,M6,Z,11.4,7.4,9.6,29,221
NISSAN,'Rogue AWD','SUV - SMALL',2.5,4,AV,X,9.6,7.5,8.7,32,204
TOYOTA,AVALON,MID-SIZE,3.5,6,AS6,X,11.4,7.7,9.7,29,226
FORD,'ESCAPE AWD','SUV - SMALL',2,4,AS6,X,11.4,8.4,10.1,28,232
AUDI,'A5 CABRIOLET QUATTRO',SUBCOMPACT,2,4,AS8,Z,11.3,8,9.8,29,225
SUBARU,'Ascent AWD','SUV - STANDARD',2.4,4,AV8,X,11.6,9,10.4,27,244
KIA,Soul,'STATION WAGON - SMALL',2,4,AS6,X,9.5,7.8,8.7,32,206
CHEVROLET,'CORVETTE Z06',TWO-SEATER,6.2,8,AS8,Z,17.7,10.2,14.3,20,335
VOLVO,'V60 T5 AWD','STATION WAGON - SMALL',2,4,AS8,X,11,8.1,9.7,29,226
HYUNDAI,'VELOSTER TURBO',COMPACT,1.6,4,M6,X,9.4,7.2,8.4,34,200
CHEVROLET,TRAVERSE,'SUV - STANDARD',2,4,A9,Z,11.7,9,10.5,27,246
BMW,'440i COUPE',COMPACT,3,6,M6,Z,12.2,8.2,10.4,27,242
'ASTON MARTIN','V8 VANTAGE',TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,356
MITSUBISHI,LANCER,COMPACT,2,4,AV6,X,9.2,7,8.2,34,189
HYUNDAI,'SANTA FE','SUV - SMALL',3.3,6,AS6,X,12.9,9.4,11.3,25,265
MINI,'JOHN COOPER WORKS CONVERTIBLE',MINICOMPACT,1.6,4,M6,Z,9.1,6.8,8.1,35,186
CHEVROLET,Camaro,SUBCOMPACT,2,4,AS8,Z,10.8,7.7,9.4,30,220
CHRYSLER,'300 AWD',FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
BMW,'X3 M Competition','SUV - SMALL',3,6,AS8,Z,16.6,12.1,14.6,19,339
PORSCHE,'911 TURBO S EXCLUSIVE',MINICOMPACT,3.8,6,AM7,Z,13.8,10.3,12.3,23,285
PORSCHE,'911 Carrera S Cabriolet',MINICOMPACT,3,6,AM8,Z,12.7,10.2,11.6,24,272
CHEVROLET,'EXPRESS 2500 PASSENGER FFV','VAN - PASSENGER',6,8,A6,E,30.3,20.5,25.9,11,414
BMW,'440i COUPE',COMPACT,3,6,M6,Z,12.2,8.2,10.4,27,242
TOYOTA,'4Runner 4WD (Part-Time 4WD)','SUV - STANDARD',4,6,AS5,X,14.3,11.9,13.2,21,308
DODGE,Challenger,MID-SIZE,5.7,8,M6,Z,15.6,10.1,13.1,22,307
MINI,'COOPER S PACEMAN ALL4',COMPACT,1.6,4,AS6,Z,10.1,7.8,9,31,207
TOYOTA,'CAMRY HYBRID LE',MID-SIZE,2.5,4,AV6,X,4.9,4.8,4.9,58,113
MINI,'Cooper 5 Door',SUBCOMPACT,1.5,3,M6,Z,8.4,6.3,7.5,38,175
GMC,'ACADIA AWD','SUV - STANDARD',3.6,6,A6,X,16.1,10.8,13.7,21,323
AUDI,S5,SUBCOMPACT,3,6,AS8,Z,11.8,8.9,10.5,27,245
PORSCHE,'911 Carrera 4 GTS',MINICOMPACT,3,6,M7,Z,12.8,8.9,11,26,257
VOLKSWAGEN,CC,COMPACT,2,4,A6,Z,11.1,7.9,9.7,29,223
MAZDA,MAZDA5,MINIVAN,2.5,4,AS5,X,10.8,8.2,9.6,29,226
'LAND ROVER','Range Rover 5.0 Supercharged LWB','SUV - STANDARD',5,8,AS8,Z,14.4,11.3,13,22,305
HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.1,7.1,40,163
CHEVROLET,'MALIBU LIMITED',MID-SIZE,2.5,4,AS6,X,10,7,8.6,33,202
CHEVROLET,MALIBU,MID-SIZE,1.5,4,A6,X,8.8,6.5,7.8,36,181
AUDI,'A5 CABRIOLET QUATTRO',SUBCOMPACT,2,4,AS8,Z,11.3,8,9.8,29,225
VOLKSWAGEN,'Atlas 4MOTION','SUV - STANDARD',3.6,6,AS8,X,13.8,10.2,12.2,23,286
DODGE,'GRAND CARAVAN FFV',MINIVAN,3.6,6,A6,X,13.7,9.4,11.8,24,271
AUDI,'Q5 HYBRID','SUV - SMALL',2,4,AS8,Z,9.8,7.9,8.9,32,205
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS8,Z,15.5,9.2,12.7,22,297
PORSCHE,'Panamera 4 ST',FULL-SIZE,3,6,AM8,Z,12.2,8.9,10.7,26,250
NISSAN,370Z,TWO-SEATER,3.7,6,M6,Z,13.3,9.3,11.5,25,264
MINI,'JOHN COOPER WORKS CONVERTIBLE',MINICOMPACT,1.6,4,A6,Z,9.3,7,8.3,34,191
BMW,'X1 xDRIVE28i','SUV - SMALL',2,4,AS8,Z,10.7,7.5,9.3,30,217
BMW,'330i xDRIVE GRAN TURISMO',FULL-SIZE,2,4,AS8,Z,10.2,7.2,8.9,32,208
FIAT,'500 HATCHBACK',MINICOMPACT,1.4,4,M5,X,7.6,5.9,6.8,42,156
LEXUS,'NX 300h AWD','SUV - SMALL',2.5,4,AV6,X,7.2,7.9,7.5,38,176
GMC,Acadia,'SUV - STANDARD',2.5,4,A9,X,11.3,8.9,10.2,28,238
INFINITI,'Q60 AWD',SUBCOMPACT,2,4,AS7,Z,11.2,8.5,10,28,233
AUDI,A3,SUBCOMPACT,2,4,AM7,X,9.1,6.8,8,35,188
MITSUBISHI,'Outlander 4WD','SUV - SMALL',2.4,4,AV6,X,9.9,8.1,9.1,31,212
PORSCHE,CAYMAN,TWO-SEATER,2,4,M6,Z,11,8.3,9.8,29,229
FORD,'F-150 (LT Tire Pkg)','PICKUP TRUCK - STANDARD',2.7,6,AS6,X,12.4,9.8,11.2,25,263
FORD,FUSION,MID-SIZE,2.5,4,AS6,X,10.5,6.9,8.9,32,209
GMC,'Yukon XL FFV','SUV - STANDARD',5.3,8,A6,E,21.2,13.9,17.9,16,298
BMW,'X7 M50i','SUV - STANDARD',4.4,8,AS8,Z,15.5,11.4,13.6,21,318
BMW,'M4 CABRIOLET',SUBCOMPACT,3,6,M6,Z,13.7,9.1,11.7,24,273
MITSUBISHI,'RVR 4WD','SUV - SMALL',2,4,AV6,X,9.8,8,9,31,207
GMC,'YUKON DENALI XL AWD','SUV - STANDARD',6.2,8,A6,E,25.7,17.8,22.1,13,354
GMC,SIERRA,'PICKUP TRUCK - STANDARD',5.3,8,A6,X,14.6,10.3,12.7,22,292
RAM,'1500 4X4','PICKUP TRUCK - STANDARD',5.7,8,A6,X,18.7,13.3,16.3,17,382
CADILLAC,CTS,MID-SIZE,3.6,6,AS8,X,11.6,8,10,28,234
GMC,'CANYON 4WD','PICKUP TRUCK - SMALL',2.8,4,A6,D,12,8.2,10.3,27,277
FORD,'MUSTANG (Performance Pkg)',SUBCOMPACT,5,8,M6,X,16.7,10.2,13.8,20,324
PORSCHE,'911 CARRERA S',MINICOMPACT,3.8,6,AM7,Z,11.9,8.7,10.5,27,245
RAM,'1500 FFV','PICKUP TRUCK - STANDARD',3.6,6,A8,E,19.7,13.8,17,17,283
CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,9.6,6.7,8.3,34,195
KIA,'SPORTAGE AWD','SUV - SMALL',2.4,4,AS6,X,12,9.3,10.8,26,251
FORD,'F-150 FFV (Payload Pkg)','PICKUP TRUCK - STANDARD',5,8,AS10,E,20.3,14,17.4,16,288
GMC,'YUKON XL FFV','SUV - STANDARD',5.3,8,A6,E,19.8,13.9,17.2,16,285
MERCEDES-BENZ,'GLC 300 4MATIC COUPE','SUV - SMALL',2,4,A9,Z,11,8.7,10,28,235
MITSUBISHI,'OUTLANDER 4WD','SUV - SMALL',2.4,4,AV6,X,9.7,8.1,9,31,207
INFINITI,Q70,MID-SIZE,3.7,6,AS7,Z,12.8,8.9,11,26,253
KIA,'SPORTAGE AWD','SUV - SMALL',2.4,4,AS6,X,11.3,9.5,10.5,27,247
PORSCHE,'CAYENNE TURBO','SUV - STANDARD',4.8,8,A8,Z,16.7,11.2,14.2,20,334
CHEVROLET,SILVERADO,'PICKUP TRUCK - STANDARD',5.3,8,A6,E,19.9,13.8,17.2,16,275
FORD,'EXPLORER FFV AWD','SUV - STANDARD',3.5,6,AS6,E,19.7,14.3,17.3,16,288
GMC,'Yukon XL FFV','SUV - STANDARD',5.3,8,A6,E,21.2,13.9,17.9,16,298
BUICK,'Envision AWD','SUV - SMALL',2,4,A9,Z,11.7,9.4,10.7,26,250
MERCEDES-BENZ,'G 63 AMG','SUV - STANDARD',5.5,8,AS7,Z,20,16.6,18.5,15,426
ACURA,'MDX HYBRID AWD','SUV - SMALL',3,6,AM7,Z,9.1,9,9,31,210
JEEP,'RENEGADE 4X4','SUV - SMALL',2.4,4,A9,X,11.2,8,9.8,29,225
ACURA,'MDX SH-AWD ELITE','SUV - SMALL',3.5,6,AS9,Z,12.2,9,10.7,26,251
NISSAN,ALTIMA,MID-SIZE,2.5,4,AV,X,8.7,6.3,7.6,37,179
JEEP,COMPASS,'SUV - SMALL',2,4,A6,X,11.1,8.3,9.8,29,225
TOYOTA,Corolla,MID-SIZE,1.8,4,M6,X,8.5,6.6,7.6,37,178
MERCEDES-BENZ,'G 63 AMG','SUV - STANDARD',5.5,8,AS7,Z,20,16.6,18.5,15,426
MERCEDES-BENZ,'B 250','STATION WAGON - SMALL',2,4,AS7,Z,9.2,6.6,8,35,184
JEEP,CHEROKEE,'SUV - SMALL',3.2,6,A9,X,11.4,8.3,10,28,234
MERCEDES-BENZ,'G 63 AMG','SUV - STANDARD',5.5,8,AS7,Z,20,16.6,18.5,15,426
INFINITI,Q70,MID-SIZE,3.7,6,AS7,Z,12.8,8.9,11,26,253
MITSUBISHI,MIRAGE,COMPACT,1.2,3,AV,X,6.4,5.5,6,47,141
AUDI,'A4 ALLROAD QUATTRO','STATION WAGON - SMALL',2,4,AS8,Z,11.2,8.4,9.9,28,228
LEXUS,'LS 500',MID-SIZE,3.4,6,AS10,Z,12.2,7.8,10.2,28,240
DODGE,'CHARGER AWD',FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
CHRYSLER,'Voyager (Stop-Start)',MINIVAN,3.6,6,A9,X,12.4,8.4,10.6,27,249
TOYOTA,'Prius c',COMPACT,1.5,4,AV,X,4.9,5.5,5.1,55,120
MITSUBISHI,'Outlander 4WD','SUV - SMALL',2.4,4,AV6,X,9.9,8.1,9.1,31,212
TOYOTA,'RAV4 HYBRID AWD','SUV - SMALL',2.5,4,AV6,X,6.9,7.6,7.2,39,169
JEEP,CHEROKEE,'SUV - SMALL',2.4,4,A9,X,10.9,7.7,9.5,30,223
'LAND ROVER','Range Rover SVAutobiography LWB','SUV - STANDARD',5,8,AS8,Z,17.9,12.7,15.5,18,365
RAM,'1500 4X4 (MDS)','PICKUP TRUCK - STANDARD',5.7,8,A8,X,16.3,11.5,14.1,20,324
MERCEDES-BENZ,'SL 550',TWO-SEATER,4.7,8,AS7,Z,13.4,9.6,11.7,24,269
VOLKSWAGEN,'Atlas 4MOTION','SUV - STANDARD',3.6,6,AS8,X,13.8,10.2,12.2,23,286
INFINITI,Q50,MID-SIZE,3.7,6,AS7,Z,12,8.1,10.3,27,237
PORSCHE,'911 CARRERA 4 GTS',MINICOMPACT,3,6,M7,Z,12.8,8.9,11,26,257
MAZDA,MAZDA5,MINIVAN,2.5,4,AS5,X,10.8,8.2,9.6,29,226
KIA,RIO,COMPACT,1.6,4,M6,X,8.7,6.4,7.7,37,177
BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.3,7.4,9.5,30,218
FORD,'Mustang (Performance Pkg)',SUBCOMPACT,2.3,4,M6,X,11.8,8.7,10.4,27,244
TOYOTA,'TUNDRA 4WD','PICKUP TRUCK - STANDARD',4.6,8,AS6,X,16.8,12.6,14.9,19,349
HYUNDAI,ACCENT,COMPACT,1.6,4,M6,X,8.2,6.3,7.3,39,173
MAZDA,'MAZDA6 (i-ELOOP)',MID-SIZE,2.5,4,AS6,X,8.4,5.9,7.3,39,168
NISSAN,MURANO,'STATION WAGON - MID-SIZE',3.5,6,AV7,X,11,8.3,9.8,29,230
CHEVROLET,'EXPRESS 2500 PASSENGER FFV','VAN - PASSENGER',6,8,A6,E,30.3,20.5,25.9,11,414
ROLLS-ROYCE,DAWN,COMPACT,6.6,12,AS8,Z,20,12.6,16.7,17,390
MITSUBISHI,'RVR 4WD','SUV - SMALL',2.4,4,AV6,X,10.4,8.5,9.6,29,221
CHEVROLET,COLORADO,'PICKUP TRUCK - SMALL',2.5,4,A6,X,12.1,9.2,10.8,26,253
MINI,'COOPER S 5 DOOR',SUBCOMPACT,2,4,M6,Z,10.2,7.3,8.9,32,210
MITSUBISHI,'OUTLANDER 4WD','SUV - SMALL',2.4,4,AV6,X,9.7,8.1,9,31,207
PORSCHE,'911 TARGA 4',MINICOMPACT,3.4,6,M7,Z,12.9,9,11.1,25,255
JEEP,'NEW WRANGLER UNLIMITED 4X4','SUV - SMALL',3.6,6,A8,X,12.9,10.2,11.7,24,275
HYUNDAI,ELANTRA,MID-SIZE,2,4,M6,X,9.8,7,8.5,33,198
LAMBORGHINI,'Aventador Coupe',TWO-SEATER,6.5,12,AM7,Z,26.2,15.5,21.4,13,485
HONDA,HR-V,'STATION WAGON - SMALL',1.8,4,AV,X,8.4,7,7.8,36,181
CHRYSLER,'300 AWD FFV',FULL-SIZE,3.6,6,A8,X,12.8,8.7,11,26,258
HYUNDAI,SONATA,FULL-SIZE,2.4,4,AS6,X,9.8,6.7,8.4,34,193
HYUNDAI,Elantra,MID-SIZE,1.6,4,M6,X,10.7,7.8,9.4,30,221
LEXUS,'RX 450h AWD','SUV - STANDARD',3.5,6,AV6,Z,7.7,8.2,8,35,186
TOYOTA,TACOMA,'PICKUP TRUCK - SMALL',2.7,4,A4,X,12.2,9.9,11.2,25,258
TOYOTA,'SIENNA AWD',MINIVAN,3.5,6,AS8,X,13.4,9.6,11.7,24,274
CHEVROLET,MALIBU,MID-SIZE,1.5,4,A6,X,8.8,6.5,7.8,36,181
CHEVROLET,'Silverado WT 4WD','PICKUP TRUCK - STANDARD',2.7,4,A8,X,12.7,11,12,24,280
MERCEDES-BENZ,'AMG SL 63',TWO-SEATER,5.5,8,AS7,Z,14.7,9.5,12.4,23,298
FORD,'EXPEDITION 4X4 FFV','SUV - STANDARD',5.4,8,A6,X,18.2,13.3,16,18,368
BMW,M5,MID-SIZE,4.4,8,AS8,Z,16,11.2,13.9,20,324
KIA,'SPORTAGE AWD','SUV - SMALL',2.4,4,A6,X,12,9.1,10.7,26,246
NISSAN,'JUKE NISMO RS AWD','STATION WAGON - SMALL',1.6,4,AV8,Z,9.4,8.1,8.8,32,202
PORSCHE,'911 TARGA 4S',MINICOMPACT,3.8,6,AM7,Z,12.8,9.3,11.2,25,258
GENESIS,'G70 AWD',COMPACT,2,4,AS8,Z,11.5,8.7,10.3,27,241
MINI,'COOPER S CLUBMAN ALL4',MID-SIZE,2,4,M6,Z,11.4,7.8,9.7,29,227
BMW,'X4 M','SUV - SMALL',3,6,AS8,Z,16.6,12.1,14.6,19,339
FORD,'EXPLORER FFV AWD','SUV - STANDARD',3.5,6,AS6,E,18.9,13.9,16.7,17,267
LEXUS,'RX 450h AWD','SUV - STANDARD',3.5,6,AV6,Z,7.7,8.2,8,35,186
HONDA,FIT,'STATION WAGON - SMALL',1.5,4,AV7,X,7.6,6.4,7,40,164
MERCEDES-BENZ,'G 63 AMG','SUV - STANDARD',5.5,8,AS7,Z,20,16.6,18.5,15,426
CHEVROLET,TRAVERSE,'SUV - STANDARD',2,4,A9,Z,11.7,9,10.5,27,246
VOLKSWAGEN,Jetta,COMPACT,1.4,4,M6,X,7.9,5.9,7,40,163
JEEP,'COMPASS 4X4','SUV - SMALL',2.4,4,A6,X,11.4,8.7,10.2,28,235
CHEVROLET,'Silverado WT 4WD','PICKUP TRUCK - STANDARD',2.7,4,A8,X,12.7,11,12,24,280
BMW,'M2 Competition',SUBCOMPACT,3,6,M6,Z,13.4,9.6,11.7,24,273
HYUNDAI,'Sonata Hybrid',FULL-SIZE,2,4,AM6,X,5.3,4.6,5,56,117
AUDI,'A7 quattro',MID-SIZE,3,6,AM7,Z,10.9,8.2,9.7,29,226
PORSCHE,'911 CARRERA 4 GTS CABRIOLET',MINICOMPACT,3.8,6,AM7,Z,13.1,9.4,11.4,25,262
MERCEDES-BENZ,'C 300 4MATIC',COMPACT,2,4,AS7,Z,10.1,7.8,9,31,207
BMW,340i,COMPACT,3,6,AS8,Z,10.9,7.2,9.3,30,217
HYUNDAI,'SANTA FE','SUV - SMALL',3.3,6,AS6,X,12.9,9.4,11.3,25,265
CADILLAC,'ATS AWD',COMPACT,3.6,6,AS8,X,12.2,8.5,10.5,27,247
MAZDA,MX-5,TWO-SEATER,2,4,AS6,Z,9,6.7,8,35,187
MAZDA,'CX-9 4WD','SUV - SMALL',2.5,4,AS6,X,11.6,9.1,10.5,27,244
MITSUBISHI,LANCER,COMPACT,2.4,4,AV6,X,9.8,7.6,8.8,32,204
BENTLEY,'CONTINENTAL GT CONVERTIBLE',SUBCOMPACT,6,12,AS8,Z,19.6,11.7,16,18,375
JEEP,'NEW WRANGLER UNLIMITED 4X4','SUV - SMALL',3.6,6,A8,X,12.9,10.2,11.7,24,275
DODGE,'GRAND CARAVAN FFV',MINIVAN,3.6,6,A6,X,13.7,9.4,11.8,24,271
BMW,320i,COMPACT,2,4,AS8,Z,10,6.5,8.4,34,200
ROLLS-ROYCE,'PHANTOM COUPE',COMPACT,6.7,12,A8,Z,20.7,12.8,17.1,17,393
LINCOLN,Aviator,'SUV - STANDARD',3,6,AS10,X,13.7,9.7,11.9,24,280
HYUNDAI,'TUCSON AWD','SUV - SMALL',2,4,AS6,X,11,9,10.1,28,240
JEEP,'CHEROKEE 4X4 ACTIVE DRIVE LOCK','SUV - SMALL',3.2,6,A9,X,12.9,9.9,11.6,24,269
HONDA,'HR-V AWD','STATION WAGON - SMALL',1.8,4,AV,X,8.9,7.5,8.2,34,194
BMW,'740Li xDRIVE SEDAN',FULL-SIZE,3,6,AS8,Z,12.1,8.1,10.3,27,237
TOYOTA,86,MINICOMPACT,2,4,AS6,Z,9.9,7.3,8.7,32,204
MASERATI,'QUATTROPORTE GTS',FULL-SIZE,3.8,8,AS8,Z,17.6,10.7,14.5,19,334
MINI,'COOPER S 5 DOOR',SUBCOMPACT,2,4,M6,Z,10.2,7.3,8.9,32,210
HYUNDAI,ELANTRA,MID-SIZE,2,4,AS6,X,8.3,6.4,7.4,38,174
DODGE,'CHALLENGER (MDS)',MID-SIZE,5.7,8,A8,X,14.7,9.4,12.3,23,289
SUBARU,'OUTBACK AWD','SUV - SMALL',2.5,4,AV6,X,9.4,7.3,8.4,34,198
'LAND ROVER','RANGE ROVER EVOQUE','SUV - SMALL',2,4,AS9,Z,11.3,7.9,9.7,29,229
SCION,FR-S,MINICOMPACT,2,4,M6,Z,10.9,7.9,9.6,29,224
BMW,'340i xDRIVE',COMPACT,3,6,AS8,Z,10.9,7.3,9.3,30,216
AUDI,S5,SUBCOMPACT,3,6,AS8,Z,11.8,8.9,10.5,27,245
'LAND ROVER','RANGE ROVER EVOQUE CONVERTIBLE','SUV - SMALL',2,4,AS9,Z,11.2,8.2,9.8,29,231
VOLKSWAGEN,'Jetta GLI',COMPACT,2,4,M6,X,9.6,7.1,8.5,33,198
KIA,'SPORTAGE AWD','SUV - SMALL',2.4,4,AS6,X,12,9.1,10.7,26,246
CHEVROLET,TRAX,'SUV - SMALL',1.4,4,AS6,X,9.4,7.1,8.4,34,193
INFINITI,'QX50 AWD','SUV - SMALL',2,4,AV8,Z,10.8,8.3,9.7,29,228
ACURA,'RDX AWD A-SPEC','SUV - SMALL',2,4,AS10,Z,11.3,9.1,10.3,27,242
GMC,'YUKON 4WD','SUV - STANDARD',5.3,8,A6,E,20.5,14,17.6,16,282
VOLKSWAGEN,CC,COMPACT,2,4,A6,Z,11.1,7.9,9.7,29,223
CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,8.5,6.2,7.5,38,173
PORSCHE,'911 TURBO',MINICOMPACT,3.8,6,AM7,Z,12.6,9.9,11.4,25,266
MINI,'COOPER S PACEMAN ALL4',COMPACT,1.6,4,AS6,Z,10.1,7.8,9,31,207
NISSAN,'NV200 CARGO VAN','SPECIAL PURPOSE VEHICLE',2,4,AV,X,9.8,8.8,9.3,30,218
BMW,'M6 GRAN COUPE',COMPACT,4.4,8,M6,Z,16.1,10.8,13.7,21,315
INFINITI,'QX80 4WD','SUV - STANDARD',5.6,8,AS7,Z,16.9,11.9,14.7,19,338
BMW,'X1 xDRIVE28i','SUV - SMALL',2,4,AS8,Z,10.7,7.5,9.3,30,217
BMW,'435i xDRIVE COUPE',COMPACT,3,6,AS8,Z,12,7.9,10.2,28,238
MERCEDES-BENZ,'ML 350 BLUETEC 4MATIC','SUV - STANDARD',3,6,AS7,D,11.8,8.5,10.3,27,278
MAZDA,'MAZDA3 4-DOOR',COMPACT,2.5,4,AS6,X,8.4,6.1,7.4,38,173
GMC,Canyon,'PICKUP TRUCK - SMALL',2.8,4,A6,D,11.8,7.9,10.1,28,270
MINI,'COOPER S CONVERTIBLE',MINICOMPACT,2,4,AS6,Z,9.7,7,8.5,33,198
FORD,'F-150 4X4','PICKUP TRUCK - STANDARD',3,6,AS10,D,11.8,9.3,10.7,26,287
VOLKSWAGEN,'GOLF ALLTRACK','STATION WAGON - SMALL',1.8,4,AM6,X,10.7,8,9.4,30,220
PORSCHE,'Cayenne S','SUV - STANDARD',2.9,6,AS8,Z,12.9,10.4,11.8,24,275
DODGE,'DART FFV',MID-SIZE,2,4,A6,E,14.2,9.8,12.2,23,195
FORD,'EDGE AWD','SUV - SMALL',2,4,AS6,X,11.8,8.4,10.3,27,240
GMC,'TERRAIN FFV','SUV - SMALL',2.4,4,A6,E,15.6,10.8,13.4,21,214
KIA,'SPORTAGE AWD','SUV - SMALL',2.4,4,AS6,X,11.3,9.5,10.5,27,247
HONDA,'PILOT AWD','SUV - SMALL',3.5,6,A6,X,13,9.3,11.3,25,266
VOLVO,'XC70 T5','SUV - SMALL',2,4,AS8,X,10.3,7.6,9.1,31,213
MERCEDES-BENZ,'GLC 300 4MATIC','SUV - SMALL',2,4,A9,Z,11,8.7,10,28,234
AUDI,S4,COMPACT,3,6,AS8,Z,11.3,8,9.8,29,230
AUDI,'R8 SPYDER',TWO-SEATER,5.2,10,M6,Z,19.9,12,16.4,17,377
CHEVROLET,'EQUINOX FFV','SUV - SMALL',2.4,4,A6,E,15.6,10.8,13.4,21,221
FORD,'EDGE AWD','SUV - SMALL',2.7,6,AS6,X,13.8,9.8,12,24,281
LINCOLN,'MKX AWD','SUV - SMALL',2.7,6,AS6,X,14.1,9.8,12.1,23,284
AUDI,'A4 ULTRA',COMPACT,2,4,AM7,Z,8.6,6.4,7.6,37,177
GMC,'YUKON 4WD','SUV - STANDARD',5.3,8,A6,X,15.2,10.8,13.2,21,310
CHEVROLET,'Silverado LD','PICKUP TRUCK - STANDARD',5.3,8,A6,X,15.6,10.9,13.5,21,317
BMW,'M850i xDrive Coupe',SUBCOMPACT,4.4,8,AS8,Z,13.3,9.2,11.5,25,269
CHEVROLET,'SILVERADO FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,X,14.6,10.3,12.7,22,298
CHRYSLER,'Pacifica (Stop-Start)',MINIVAN,3.6,6,A9,X,12.4,8.4,10.6,27,249
KIA,'FORTE 5',FULL-SIZE,2,4,M6,X,9.7,6.9,8.4,34,197
GMC,'Sierra FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,X,15.7,11.9,14,20,329
NISSAN,MICRA,COMPACT,1.6,4,M5,X,8.6,6.6,7.7,37,177
